Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment,Unnamed: 11
CVD age-standardized death rate,,2019,,African Region,Total,,261.9583233,no data,no data,,
CVD age-standardized death rate,,2019,,African Region,Males,,276.5783546,no data,no data,,
CVD age-standardized death rate,,2019,,African Region,Females,,248.2676169,no data,no data,,
CVD age-standardized death rate,,2019,,Eastern Mediterranean Region,Total,,352.2195383,no data,no data,,
CVD age-standardized death rate,,2019,,Eastern Mediterranean Region,Males,,376.4976441,no data,no data,,
CVD age-standardized death rate,,2019,,Eastern Mediterranean Region,Females,,326.7460757,no data,no data,,
CVD age-standardized death rate,,2019,,European Region,Total,,190.219144,no data,no data,,
CVD age-standardized death rate,,2019,,European Region,Males,,234.5307896,no data,no data,,
CVD age-standardized death rate,,2019,,European Region,Females,,152.0911342,no data,no data,,
CVD age-standardized death rate,,2019,,Global,Total,,208.0835406,no data,no data,,
CVD age-standardized death rate,,2019,,Global,Males,,248.3783819,no data,no data,,
CVD age-standardized death rate,,2019,,Global,Females,,173.1072679,no data,no data,,
CVD age-standardized death rate,,2019,,Region of the Americas,Total,,137.2188454,no data,no data,,
CVD age-standardized death rate,,2019,,Region of the Americas,Males,,167.0564007,no data,no data,,
CVD age-standardized death rate,,2019,,Region of the Americas,Females,,111.7660119,no data,no data,,
CVD age-standardized death rate,,2019,,South-East Asian Region,Total,,243.9707301,no data,no data,,
CVD age-standardized death rate,,2019,,South-East Asian Region,Males,,277.2170252,no data,no data,,
CVD age-standardized death rate,,2019,,South-East Asian Region,Females,,212.3965955,no data,no data,,
CVD age-standardized death rate,,2019,,Western Pacific Region,Total,,198.9794229,no data,no data,,
CVD age-standardized death rate,,2019,,Western Pacific Region,Males,,254.0134725,no data,no data,,
CVD age-standardized death rate,,2019,,Western Pacific Region,Females,,154.0527038,no data,no data,,
CVD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Total,,543.3809,no data,no data,,
CVD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Males,,523.0317,no data,no data,,
CVD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Females,,558.8,no data,no data,,
CVD age-standardized death rate,,2019,Albania,European Region,Total,,393.572,no data,no data,,
CVD age-standardized death rate,,2019,Albania,European Region,Males,,368.5147,no data,no data,,
CVD age-standardized death rate,,2019,Albania,European Region,Females,,406.7,no data,no data,,
CVD age-standardized death rate,,2019,Algeria,African Region,Total,,258.7537,no data,no data,,
