Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment,Unnamed: 11
CRD age-standardized death rate,,2019,,African Region,Total,,41.78141261,no data,no data,,
CRD age-standardized death rate,,2019,,African Region,Males,,51.85224692,no data,no data,,
CRD age-standardized death rate,,2019,,African Region,Females,,34.01131075,no data,no data,,
CRD age-standardized death rate,,2019,,Eastern Mediterranean Region,Total,,50.57341474,no data,no data,,
CRD age-standardized death rate,,2019,,Eastern Mediterranean Region,Males,,66.8295743,no data,no data,,
CRD age-standardized death rate,,2019,,Eastern Mediterranean Region,Females,,35.28756438,no data,no data,,
CRD age-standardized death rate,,2019,,European Region,Total,,21.98338001,no data,no data,,
CRD age-standardized death rate,,2019,,European Region,Males,,31.95998252,no data,no data,,
CRD age-standardized death rate,,2019,,European Region,Females,,15.22831725,no data,no data,,
CRD age-standardized death rate,,2019,,Global,Total,,48.03619904,no data,no data,,
CRD age-standardized death rate,,2019,,Global,Males,,62.76816907,no data,no data,,
CRD age-standardized death rate,,2019,,Global,Females,,36.95169625,no data,no data,,
CRD age-standardized death rate,,2019,,Region of the Americas,Total,,35.79687942,no data,no data,,
CRD age-standardized death rate,,2019,,Region of the Americas,Males,,42.17719524,no data,no data,,
CRD age-standardized death rate,,2019,,Region of the Americas,Females,,30.96435589,no data,no data,,
CRD age-standardized death rate,,2019,,South-East Asian Region,Total,,94.17465938,no data,no data,,
CRD age-standardized death rate,,2019,,South-East Asian Region,Males,,110.7235499,no data,no data,,
CRD age-standardized death rate,,2019,,South-East Asian Region,Females,,79.76228754,no data,no data,,
CRD age-standardized death rate,,2019,,Western Pacific Region,Total,,46.79904785,no data,no data,,
CRD age-standardized death rate,,2019,,Western Pacific Region,Males,,66.13640904,no data,no data,,
CRD age-standardized death rate,,2019,,Western Pacific Region,Females,,32.89570805,no data,no data,,
CRD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Total,,62.79636,no data,no data,,
CRD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Males,,62.47904,no data,no data,,
CRD age-standardized death rate,,2019,Afghanistan,Eastern Mediterranean Region,Females,,63.2,no data,no data,,
CRD age-standardized death rate,,2019,Albania,European Region,Total,,23.14876,no data,no data,,
CRD age-standardized death rate,,2019,Albania,European Region,Males,,28.27917,no data,no data,,
CRD age-standardized death rate,,2019,Albania,European Region,Females,,18.5,no data,no data,,
CRD age-standardized death rate,,2019,Algeria,African Region,Total,,19.87324,no data,no data,,
CRD age-standardized death rate,,2019,Algeria,African Region,Males,,24.39674,no data,no data,,
CRD age-standardized death rate,,2019,Algeria,African Region,Females,,15.7,no data,no data,,
CRD age-standardized death rate,,2019,Angola,African Region,Total,,44.09288,no data,no data,,
CRD age-standardized death rate,,2019,Angola,African Region,Males,,45.92788,no data,no data,,
CRD age-standardized death rate,,2019,Angola,African Region,Females,,42.5,no data,no data,,
CRD age-standardized death rate,,2019,Antigua and Barbuda,Region of the Americas,Total,,24.73559,no data,no data,,
