Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment,Unnamed: 11
"Overweight, adults aged 18+",,2016,,African Region,Total,,31.1,29.2,33.1,,
"Overweight, adults aged 18+",,2016,,African Region,Males,,22.8,20.1,25.7,,
"Overweight, adults aged 18+",,2016,,African Region,Females,,38.8,36.2,41.7,,
"Overweight, adults aged 18+",,2016,,Eastern Mediterranean Region,Total,,49,46.8,51.2,,
"Overweight, adults aged 18+",,2016,,Eastern Mediterranean Region,Males,,45.4,42.2,48.7,,
"Overweight, adults aged 18+",,2016,,Eastern Mediterranean Region,Females,,52.6,49.6,55.7,,
"Overweight, adults aged 18+",,2016,,European Region,Total,,58.7,56.9,60.5,,
"Overweight, adults aged 18+",,2016,,European Region,Males,,63.1,60.7,65.6,,
"Overweight, adults aged 18+",,2016,,European Region,Females,,54.3,51.7,56.9,,
"Overweight, adults aged 18+",,2016,,Global,Total,,38.9,37.5,40.3,,
"Overweight, adults aged 18+",,2016,,Global,Males,,38.5,36.5,40.6,,
"Overweight, adults aged 18+",,2016,,Global,Females,,39.2,37.3,41.1,,
"Overweight, adults aged 18+",,2016,,Region of the Americas,Total,,62.5,60.5,64.5,,
"Overweight, adults aged 18+",,2016,,Region of the Americas,Males,,64.1,61.3,66.9,,
"Overweight, adults aged 18+",,2016,,Region of the Americas,Females,,60.9,58.1,63.8,,
"Overweight, adults aged 18+",,2016,,South-East Asian Region,Total,,21.9,19.7,24.3,,
"Overweight, adults aged 18+",,2016,,South-East Asian Region,Males,,19.7,16.5,23.1,,
"Overweight, adults aged 18+",,2016,,South-East Asian Region,Females,,24.1,21,27.4,,
"Overweight, adults aged 18+",,2016,,Western Pacific Region,Total,,31.7,28.8,34.7,,
"Overweight, adults aged 18+",,2016,,Western Pacific Region,Males,,33.7,29.3,38.3,,
"Overweight, adults aged 18+",,2016,,Western Pacific Region,Females,,29.6,25.8,33.4,,
"Overweight, adults aged 18+",,2016,Afghanistan,Eastern Mediterranean Region,Total,,23,18.5,27.8,,
"Overweight, adults aged 18+",,2016,Afghanistan,Eastern Mediterranean Region,Males,,19.7,13.6,27.1,,
"Overweight, adults aged 18+",,2016,Afghanistan,Eastern Mediterranean Region,Females,,26.1,20.1,33,,
"Overweight, adults aged 18+",,2016,Albania,European Region,Total,,57.7,52.7,62.5,,
"Overweight, adults aged 18+",,2016,Albania,European Region,Males,,64.4,57.5,70.9,,
"Overweight, adults aged 18+",,2016,Albania,European Region,Females,,51.1,44.2,58,,
"Overweight, adults aged 18+",,2016,Algeria,African Region,Total,,62,57.4,66.6,,
"Overweight, adults aged 18+",,2016,Algeria,African Region,Males,,57.8,50.8,64.6,,
"Overweight, adults aged 18+",,2016,Algeria,African Region,Females,,66.1,59.9,72.2,,
"Overweight, adults aged 18+",,2016,Andorra,European Region,Total,,63.7,58.7,68.3,,
"Overweight, adults aged 18+",,2016,Andorra,European Region,Males,,70.3,63.5,76.3,,
"Overweight, adults aged 18+",,2016,Andorra,European Region,Females,,56.9,49.6,64,,
"Overweight, adults aged 18+",,2016,Angola,African Region,Total,,27.5,22.1,33.3,,
"Overweight, adults aged 18+",,2016,Angola,African Region,Males,,19.5,12.4,27.3,,
"Overweight, adults aged 18+",,2016,Angola,African Region,Females,,34.9,27,43.6,,
"Overweight, adults aged 18+",,2016,Antigua and Barbuda,Region of the Americas,Total,,48,42.1,54,,
"Overweight, adults aged 18+",,2016,Antigua and Barbuda,Region of the Americas,Males,,40.1,31.3,49,,
"Overweight, adults aged 18+",,2016,Antigua and Barbuda,Region of the Americas,Females,,55.6,47.3,63.7,,
"Overweight, adults aged 18+",,2016,Argentina,Region of the Americas,Total,,62.7,58.1,67.2,,
"Overweight, adults aged 18+",,2016,Argentina,Region of the Americas,Males,,66.2,59.7,72.8,,
"Overweight, adults aged 18+",,2016,Argentina,Region of the Americas,Females,,59.3,52.6,65.7,,
"Overweight, adults aged 18+",,2016,Armenia,European Region,Total,,54.4,49.4,59.2,,
"Overweight, adults aged 18+",,2016,Armenia,European Region,Males,,54.2,46.4,61.2,,
"Overweight, adults aged 18+",,2016,Armenia,European Region,Females,,54.4,47.4,61,,
"Overweight, adults aged 18+",,2016,Australia,Western Pacific Region,Total,,64.5,60.9,68,,
"Overweight, adults aged 18+",,2016,Australia,Western Pacific Region,Males,,70.9,66,75.5,,
"Overweight, adults aged 18+",,2016,Australia,Western Pacific Region,Females,,58.1,52.6,63.4,,
"Overweight, adults aged 18+",,2016,Austria,European Region,Total,,54.3,49.6,58.6,,
"Overweight, adults aged 18+",,2016,Austria,European Region,Males,,61.8,55.1,68,,
"Overweight, adults aged 18+",,2016,Austria,European Region,Females,,46.8,40.5,53,,
"Overweight, adults aged 18+",,2016,Azerbaijan,European Region,Total,,53.6,48.1,58.8,,
"Overweight, adults aged 18+",,2016,Azerbaijan,European Region,Males,,52.9,45,60.5,,
"Overweight, adults aged 18+",,2016,Azerbaijan,European Region,Females,,54.1,46.8,61.1,,
"Overweight, adults aged 18+",,2016,Bahamas,Region of the Americas,Total,,64.4,59.1,69.4,,
"Overweight, adults aged 18+",,2016,Bahamas,Region of the Americas,Males,,60.3,52.4,67.9,,
"Overweight, adults aged 18+",,2016,Bahamas,Region of the Americas,Females,,68.1,61,74.8,,
"Overweight, adults aged 18+",,2016,Bahrain,Eastern Mediterranean Region,Total,,65.8,61,70.4,,
"Overweight, adults aged 18+",,2016,Bahrain,Eastern Mediterranean Region,Males,,64,57.1,70.5,,
"Overweight, adults aged 18+",,2016,Bahrain,Eastern Mediterranean Region,Females,,68.5,62.3,74.2,,
"Overweight, adults aged 18+",,2016,Bangladesh,South-East Asian Region,Total,,20,16.5,23.9,,
"Overweight, adults aged 18+",,2016,Bangladesh,South-East Asian Region,Males,,18,12.9,23.5,,
"Overweight, adults aged 18+",,2016,Bangladesh,South-East Asian Region,Females,,22.2,17.5,27.4,,
"Overweight, adults aged 18+",,2016,Barbados,Region of the Americas,Total,,52.4,46.9,58,,
"Overweight, adults aged 18+",,2016,Barbados,Region of the Americas,Males,,44.7,36.6,53,,
"Overweight, adults aged 18+",,2016,Barbados,Region of the Americas,Females,,59.9,52.6,67,,
"Overweight, adults aged 18+",,2016,Belarus,European Region,Total,,59.4,54.3,64.4,,
"Overweight, adults aged 18+",,2016,Belarus,European Region,Males,,62.6,55.6,69.2,,
"Overweight, adults aged 18+",,2016,Belarus,European Region,Females,,56.3,48.8,63.6,,
"Overweight, adults aged 18+",,2016,Belgium,European Region,Total,,59.5,55.5,63.3,,
"Overweight, adults aged 18+",,2016,Belgium,European Region,Males,,67.6,62.2,72.7,,
"Overweight, adults aged 18+",,2016,Belgium,European Region,Females,,51.4,45.6,57,,
"Overweight, adults aged 18+",,2016,Belize,Region of the Americas,Total,,54.8,49.4,60.2,,
"Overweight, adults aged 18+",,2016,Belize,Region of the Americas,Males,,48.1,39.9,56,,
"Overweight, adults aged 18+",,2016,Belize,Region of the Americas,Females,,61.2,53.9,68.3,,
"Overweight, adults aged 18+",,2016,Benin,African Region,Total,,29.5,25.3,33.9,,
"Overweight, adults aged 18+",,2016,Benin,African Region,Males,,21.2,15.5,27.7,,
"Overweight, adults aged 18+",,2016,Benin,African Region,Females,,37.3,31.4,43.4,,
"Overweight, adults aged 18+",,2016,Bhutan,South-East Asian Region,Total,,27.1,22.6,32.1,,
"Overweight, adults aged 18+",,2016,Bhutan,South-East Asian Region,Males,,25.2,18.6,32.4,,
"Overweight, adults aged 18+",,2016,Bhutan,South-East Asian Region,Females,,29.6,23.6,36,,
"Overweight, adults aged 18+",,2016,Bolivia (Plurinational State of),Region of the Americas,Total,,56.1,50.7,61.5,,
"Overweight, adults aged 18+",,2016,Bolivia (Plurinational State of),Region of the Americas,Males,,52.2,43.7,60.8,,
"Overweight, adults aged 18+",,2016,Bolivia (Plurinational State of),Region of the Americas,Females,,59.8,52.7,66.6,,
"Overweight, adults aged 18+",,2016,Bosnia and Herzegovina,European Region,Total,,53.3,48.4,58.1,,
"Overweight, adults aged 18+",,2016,Bosnia and Herzegovina,European Region,Males,,59.7,52.6,66.6,,
"Overweight, adults aged 18+",,2016,Bosnia and Herzegovina,European Region,Females,,47,40.2,53.9,,
"Overweight, adults aged 18+",,2016,Botswana,African Region,Total,,43.4,38.1,48.4,,
"Overweight, adults aged 18+",,2016,Botswana,African Region,Males,,29.7,22.6,37.3,,
"Overweight, adults aged 18+",,2016,Botswana,African Region,Females,,56.5,49.2,63.4,,
"Overweight, adults aged 18+",,2016,Brazil,Region of the Americas,Total,,56.5,52.3,60.7,,
"Overweight, adults aged 18+",,2016,Brazil,Region of the Americas,Males,,57.6,51.5,63.5,,
"Overweight, adults aged 18+",,2016,Brazil,Region of the Americas,Females,,55.4,49.6,61.4,,
"Overweight, adults aged 18+",,2016,Brunei Darussalam,Western Pacific Region,Total,,41.2,36.1,46.5,,
"Overweight, adults aged 18+",,2016,Brunei Darussalam,Western Pacific Region,Males,,41,33.6,48.7,,
"Overweight, adults aged 18+",,2016,Brunei Darussalam,Western Pacific Region,Females,,41.4,34.8,48.2,,
"Overweight, adults aged 18+",,2016,Bulgaria,European Region,Total,,61.7,56.9,66.3,,
"Overweight, adults aged 18+",,2016,Bulgaria,European Region,Males,,68.9,62.4,75,,
"Overweight, adults aged 18+",,2016,Bulgaria,European Region,Females,,54.4,47.1,61.6,,
"Overweight, adults aged 18+",,2016,Burkina Faso,African Region,Total,,23.2,19.3,27.3,,
"Overweight, adults aged 18+",,2016,Burkina Faso,African Region,Males,,16.1,11.1,21.7,,
"Overweight, adults aged 18+",,2016,Burkina Faso,African Region,Females,,29.2,23.5,35.1,,
"Overweight, adults aged 18+",,2016,Burundi,African Region,Total,,22.2,18.1,26.7,,
"Overweight, adults aged 18+",,2016,Burundi,African Region,Males,,13.9,9.1,19.7,,
"Overweight, adults aged 18+",,2016,Burundi,African Region,Females,,30.1,23.8,36.7,,
"Overweight, adults aged 18+",,2016,Cabo Verde,African Region,Total,,34.8,29.8,40,,
"Overweight, adults aged 18+",,2016,Cabo Verde,African Region,Males,,27.5,20.5,35.3,,
"Overweight, adults aged 18+",,2016,Cabo Verde,African Region,Females,,41.4,34.4,48.3,,
"Overweight, adults aged 18+",,2016,Cambodia,Western Pacific Region,Total,,21.7,17.9,25.8,,
"Overweight, adults aged 18+",,2016,Cambodia,Western Pacific Region,Males,,18.6,13.2,25.1,,
"Overweight, adults aged 18+",,2016,Cambodia,Western Pacific Region,Females,,24.2,19.1,29.7,,
"Overweight, adults aged 18+",,2016,Cameroon,African Region,Total,,33.6,29.2,38.2,,
"Overweight, adults aged 18+",,2016,Cameroon,African Region,Males,,25.2,19.2,32,,
"Overweight, adults aged 18+",,2016,Cameroon,African Region,Females,,41.7,35.6,47.9,,
"Overweight, adults aged 18+",,2016,Canada,Region of the Americas,Total,,64.1,60.5,67.6,,
"Overweight, adults aged 18+",,2016,Canada,Region of the Americas,Males,,69.8,64.8,74.4,,
"Overweight, adults aged 18+",,2016,Canada,Region of the Americas,Females,,58.5,53.4,63.6,,
"Overweight, adults aged 18+",,2016,Central African Republic,African Region,Total,,26.2,21.1,31.6,,
"Overweight, adults aged 18+",,2016,Central African Republic,African Region,Males,,18.3,11.9,25.8,,
"Overweight, adults aged 18+",,2016,Central African Republic,African Region,Females,,33.2,25.9,41.4,,
"Overweight, adults aged 18+",,2016,Chad,African Region,Total,,23.1,19.2,27.3,,
